countryName;EPRTRSectorCode;eprtrSectorName;EPRTRAnnexIMainActivityCode;EPRTRAnnexIMainActivityLabel;FacilityInspireID;facilityName;facilityNameConfidentialityReason;Longitude;Latitude;addressConfidentialityReason;City;targetRelease;pollutant;releasesConfidentialityReason;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Denmark;;;;;DK.CAED/000058387.FACILITY;Jens Axel Sørensen;;8,578221966;55,78674801;;Ølgod;AIR;Ammonia (NH3);;;;;;;;;;;;20400;;;;
Denmark;;;;;DK.CAED/000062257.FACILITY;Knud Kjær Knudsen;;11,796766;55,59549684;;Tølløse;AIR;Ammonia (NH3);;;;;;;;;;;;;;;;13233,378
Denmark;;;;;DK.CAED/000062366.FACILITY;Danhatch A/S;;9,965567809;57,34138569;;Vrå;AIR;Ammonia (NH3);;;;;;;;;;;;11400;;;;
Denmark;;;;;DK.CAED/000063618.FACILITY;Henry Bjerregaard Jensen;;9,21218947;55,97454245;;Ejstrupholm;AIR;Ammonia (NH3);;;;;;;;;;;;;13570,42676;;18197;
Denmark;;;;;DK.CAED/000064060.FACILITY;Peder Rom Nielsen;;9,258903361;56,17194913;;Bording;AIR;Ammonia (NH3);;;;;;;;;;;;;;;;10468,019
Denmark;;;;;DK.CAED/000064455.FACILITY;KÆRBY ÆG ApS;;9,010899502;55,93948016;;Brande;AIR;Ammonia (NH3);;;;;;;;;;;;;;;;20708,8
Denmark;;;;;DK.CAED/000064654.FACILITY;Østergård Hovedgård v/Tommy Hensberg;;8,987872622;56,76296122;;Roslev;AIR;Ammonia (NH3);;;;;;;;;;;;;;;;23825,651
Denmark;;;;;DK.CAED/000068280.FACILITY;Claus Erland Nielsen;;8,98202734;55,36132713;;Rødding;AIR;Ammonia (NH3);;;;;;;;;;;;11300;;;;
Denmark;;;;;DK.CAED/000071624.FACILITY;Danhatch A/S ;;9,4743517;54,94161396;;Aabenraa;AIR;Ammonia (NH3);;;;;;;;;;;;19500;;;;
Denmark;;;;;DK.CAED/000075033.FACILITY;Preben Drastrup;;9,601458155;56,90853867;;Nibe;AIR;Ammonia (NH3);;;;;;;;;;;;;;;;10094,707
Denmark;;;;;DK.CAED/000076126.FACILITY;ENGHAVEGAARD ApS;;10,14796679;55,54924906;;Bogense;AIR;Ammonia (NH3);;;;;;;;;;;;;;13997;;
Denmark;;;;;DK.CAED/000076217.FACILITY;Hans Vestergaard Boesen;;10,1007998;55,43328319;;Veflinge;AIR;Ammonia (NH3);;;;;;;;;;;;;;10377;;
Denmark;;;;;DK.CAED/000078299.FACILITY;HESTBJERG ØKOLOGI ApS;;8,531816638;56,31047351;;Holstebro;AIR;Ammonia (NH3);;;;;;;;;;;;;;;;14647,132
Denmark;;;;;DK.CAED/000082556.FACILITY;Saksager I/S;;10,00698435;57,33400308;;Vrå;AIR;Ammonia (NH3);;;;;;;;;;;;;;;;13131,901
Denmark;;;;;DK.CAED/000082862.FACILITY;Ørsted, Nybro Gasbehandlingsanlæg;;8,373526026;55,67292563;;Janderup Vestj;AIR;Carbon monoxide (CO);;;;;;;;;;;;;3600;3200;3100;3100
Denmark;;;;;DK.CAED/000082862.FACILITY;Ørsted, Nybro Gasbehandlingsanlæg;;8,373526026;55,67292563;;Janderup Vestj;AIR;Methane (CH4);;;;;;;;;;;;;14000;14000;14000;14000
Denmark;;;;;DK.CAED/000082862.FACILITY;Ørsted, Nybro Gasbehandlingsanlæg;;8,373526026;55,67292563;;Janderup Vestj;AIR;Nitrogen oxides (NOX);;;;;;;;;;;;;4400;3900;3800;3700
Denmark;;;;;DK.CAED/000082862.FACILITY;Ørsted, Nybro Gasbehandlingsanlæg;;8,373526026;55,67292563;;Janderup Vestj;AIR;Non-methane volatile organic compounds (NMVOC);;;;;;;;;;;;;390;350;335;327
Denmark;;;;;DK.CAED/000082862.FACILITY;Ørsted, Nybro Gasbehandlingsanlæg;;8,373526026;55,67292563;;Janderup Vestj;AIR;Sulphur oxides (SOX);;;;;;;;;;;;;56;49;48;47
Denmark;;;;;DK.CAED/000084852.FACILITY;Kim Uglebjerg;;8,745014514;55,74001502;;Ansager;AIR;Ammonia (NH3);;;;;;;;;;;;11200;;;;
Denmark;;;;;DK.CAED/000086615.FACILITY;Avlscenter Rønshauge A/S ;;9,545148325;55,59418103;;Fredericia;AIR;Ammonia (NH3);;;;;;;;;;;;;;;;13955,9
Denmark;;;;;DK.CAED/000087386.FACILITY;Bovbjerg Økologi A/S;;9,22673655;55,87227808;;Give;AIR;Ammonia (NH3);;;;;;;;;;;;;;;;14842,6
Denmark;;;;;DK.CAED/000090378.FACILITY;RISGÅRDENS SVINEPRODUKTION ApS;;9,388478727;56,59156271;;Skals;AIR;Ammonia (NH3);;;;;;;;;;;;11400;;;4700,8;4701
Denmark;;;;;DK.CAED/000091458.FACILITY;Knud Tøstesen;;8,718995797;55,67701653;;Ansager;AIR;Ammonia (NH3);;;;;;;;;;;;;;;;7348
